Sample,UCO Start Time,UCO End Time,UCO Duration,Average UCO Duration
20105,9/6 08:44:31.545254AM,9/6 08:54:53.395754AM,0 days 00:10:21.850500,11:19.0
21071,22/6 09:36:20.57771AM,22/6 09:46:40.42721AM,0 days 00:10:19.849500,
21087,9/7 09:53:52.515596AM,9/7 10:06:13.465595AM,0 days 00:12:20.949999,
21093,16/7 09:54:32.442703AM,16/7 10:06:45.492703AM,0 days 00:12:13.050000,
20112A,30/6 09:48:12.855028AM,30/6 09:58:19.355028AM,0 days 00:10:06.500000,
21122,13/8 08:13:39.397183AM,13/8 08:25:21.047183AM,0 days 00:11:41.650000,
21133,20/8 08:46:50.108576AM,20/8 08:58:22.308076AM,0 days 00:11:32.199500,
21165,1/10 08:56:11.93617AM,1/10 09:06:18.23617AM,0 days 00:10:06.300000,
21173,15/10 09:39:47.712436AM,15/10 09:50:21.312436AM,0 days 00:10:33.600000,
21203,22/10 09:13:55.707725AM,22/10 09:24:05.357725AM,0 days 00:10:09.650000,
20244,27/10 12:38:42.696468PM,27/10 12:51:07.646468PM,0 days 00:12:24.950000,
21051,1/6 09:35:48.155181AM,1/6 09:47:53.155181AM,0 days 00:12:05,
21126,19/8 08:46:39.591762AM,19/8 08:57:51.591762AM,0 days 00:11:12,
21200,12/11 09:41:26.472337AM,12/11 09:50:40.622337AM,0 days 00:09:14.150000,
